Input Lat,-30.9,,,,,,
Input Lon,152.53,,,,,,
Input Elev,232,,,,,,
Grid Lat,-30.9,,,,,,
Grid Lon,152.52982,,,,,,
Grid Elev,276,,,,,,
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FBI
17-Oct-23,7:00,9.2,69.9,216.1,11,10,6
17-Oct-23,8:00,12.7,58.2,213.8,13,10,7
17-Oct-23,9:00,15.5,49.2,196.5,15,10,9
17-Oct-23,10:00,17.800001,40.2,183.8,16,10,10
17-Oct-23,11:00,19.4,35.9,171.6,18,10,12
17-Oct-23,12:00,20.9,32.5,175.40001,19,10,12
17-Oct-23,13:00,21.6,31.8,163.90001,20,10,12
17-Oct-23,14:00,21.800001,32.5,175.3,20,10,12
17-Oct-23,15:00,22,33.7,175.6,22,10,13
17-Oct-23,16:00,21.1,35.4,174.1,24,10,13
17-Oct-23,17:00,19.9,37.9,173.5,23,10,12
17-Oct-23,18:00,18.9,40.3,174.2,21,10,12
17-Oct-23,19:00,17,46.7,171.1,21,10,11
17-Oct-23,20:00,15.1,53.8,175.3,15,10,8
17-Oct-23,21:00,13.3,63,193.3,11,10,7
17-Oct-23,22:00,12.900001,65.5,198.7,10,10,6
17-Oct-23,23:00,11.6,73.4,228.90001,10,10,6
18-Oct-23,0:00,10.3,80.5,230.1,11,10,6
18-Oct-23,1:00,10,83.3,228.5,8,10,5
18-Oct-23,2:00,9.1,86.1,226.90001,7,10,4
18-Oct-23,3:00,9.5,84.4,213,8,10,5
18-Oct-23,4:00,9.8,85,256.1,9,10,5
18-Oct-23,5:00,10.1,83.9,260.30002,9,10,5
18-Oct-23,6:00,9.6,85.6,255.8,10,10,6
18-Oct-23,7:00,9.900001,83.9,250.90001,8,10,4
18-Oct-23,8:00,13.1,72.7,206,8,10,6
18-Oct-23,9:00,15.6,65.7,191.2,7,10,6
18-Oct-23,10:00,17.2,56.2,166.2,9,10,7
18-Oct-23,11:00,18.5,51.8,145.8,10,10,7
18-Oct-23,12:00,19.7,48.4,139.7,10,10,7
18-Oct-23,13:00,20.1,49.5,146.90001,11,10,8
18-Oct-23,14:00,20.4,49.3,140.5,12,10,8
18-Oct-23,15:00,21.2,47.5,137.6,15,10,9
18-Oct-23,16:00,21.2,46,143.5,17,10,10
18-Oct-23,17:00,20.5,47,138.6,17,10,10
18-Oct-23,18:00,19.2,51,134.3,16,10,9
18-Oct-23,19:00,17.2,58.5,128.90001,15,10,8
18-Oct-23,20:00,15.400001,65.7,131.1,11,10,6
18-Oct-23,21:00,13.7,75.3,147.6,8,10,6
18-Oct-23,22:00,13.400001,78.3,169.7,8,10,5
